hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,commute_time,wlb_score,wlb_label
>50,None,>8,>20,3.0,3.0,3.0,Sometimes,2,<10,3,3,3.0,3 trips,2.0,3-5,2.0,>2h,615.5,MODERATE
40-45,6-10,1,0-5,1.0,1.0,4.0,Never,4+,10-20,None,1,1.0,2 trips,4.0,6-10,3.0,30-60,746.7,GOOD
35-40,1-5,4-5,6-10,5.0,5.0,4.0,Always,1,10-20,3,2,5.0,>3 trips,5.0,<3,2.0,30-60,698.7,MODERATE
<35,11-15,1,6-10,2.0,2.0,5.0,Rarely,3,Unknown,1,3,2.0,3 trips,5.0,>15,5.0,>2h,772.0,GOOD
35-40,1-5,>8,0-5,3.0,3.0,4.0,Sometimes,1,10-20,4+,1,3.0,1 trip,2.0,3-5,2.0,No commute,681.3,MODERATE
40-45,6-10,2-3,11-15,3.0,3.0,4.0,Sometimes,3,<10,3,1,3.0,>3 trips,2.0,3-5,2.0,30-60,634.6,MODERATE
<35,1-5,1,>20,3.0,3.0,2.0,Sometimes,2,<10,None,None,3.0,>3 trips,3.0,3-5,2.0,>2h,627.6,MODERATE
45-50,>15,2-3,6-10,1.0,1.0,2.0,Never,3,20-30,None,3,1.0,1 trip,5.0,11-15,1.0,<30,696.0,MODERATE
40-45,>15,6-8,>20,3.0,3.0,3.0,Sometimes,2,20-30,None,1,3.0,3 trips,4.0,>15,5.0,<30,668.3,MODERATE
<35,1-5,4-5,16-20,1.0,1.0,4.0,Never,4+,Unknown,None,None,1.0,No travel,3.0,11-15,4.0,1-2h,726.5,GOOD
>50,>15,>8,>20,5.0,5.0,2.0,Always,None,<10,1,None,5.0,2 trips,1.0,<3,1.0,>2h,564.9,MODERATE
35-40,11-15,>8,>20,4.0,4.0,2.0,Often,2,20-30,2,3,4.0,No travel,4.0,3-5,4.0,30-60,670.7,MODERATE
<35,None,2-3,0-5,4.0,4.0,2.0,Often,2,20-30,4+,4+,4.0,2 trips,4.0,3-5,4.0,<30,674.1,MODERATE
35-40,1-5,4-5,>20,1.0,1.0,2.0,Never,2,20-30,2,1,2.0,2 trips,5.0,>15,4.0,30-60,744.8,GOOD
>50,11-15,>8,11-15,5.0,5.0,5.0,Always,2,>45,2,4+,4.0,>3 trips,1.0,>15,5.0,>2h,694.9,MODERATE
<35,11-15,1,>20,4.0,4.0,2.0,Often,3,10-20,2,None,3.0,2 trips,5.0,3-5,2.0,<30,653.7,MODERATE
45-50,11-15,>8,16-20,3.0,3.0,2.0,Sometimes,3,30-45,1,4+,3.0,>3 trips,2.0,3-5,2.0,1-2h,676.8,MODERATE
40-45,6-10,1,>20,3.0,3.0,3.0,Sometimes,3,Unknown,4+,4+,3.0,1 trip,5.0,6-10,4.0,<30,733.1,GOOD
<35,1-5,>8,0-5,3.0,3.0,4.0,Sometimes,3,20-30,3,3,3.0,2 trips,2.0,6-10,5.0,1-2h,694.7,MODERATE
>50,1-5,1,16-20,2.0,2.0,4.0,Rarely,2,>45,3,None,2.0,1 trip,5.0,6-10,5.0,>2h,742.7,GOOD
<35,1-5,6-8,0-5,4.0,4.0,2.0,Often,2,20-30,4+,2,4.0,No travel,2.0,11-15,4.0,No commute,667.3,MODERATE
35-40,None,2-3,11-15,2.0,2.0,2.0,Rarely,None,10-20,4+,1,3.0,>3 trips,5.0,11-15,4.0,>2h,704.3,GOOD
<35,11-15,6-8,11-15,4.0,4.0,2.0,Often,2,<10,None,3,4.0,>3 trips,1.0,6-10,2.0,1-2h,644.5,MODERATE
45-50,1-5,1,0-5,4.0,4.0,2.0,Often,None,<10,2,3,4.0,3 trips,1.0,<3,2.0,30-60,565.3,MODERATE
<35,>15,2-3,11-15,3.0,3.0,2.0,Sometimes,3,<10,None,2,3.0,2 trips,2.0,11-15,2.0,<30,653.9,MODERATE
40-45,6-10,4-5,0-5,2.0,2.0,2.0,Rarely,1,>45,1,3,3.0,3 trips,2.0,3-5,2.0,<30,648.6,MODERATE
<35,None,1,6-10,3.0,3.0,2.0,Sometimes,2,10-20,1,None,3.0,3 trips,4.0,11-15,3.0,1-2h,705.7,GOOD
35-40,6-10,>8,>20,1.0,1.0,4.0,Never,1,10-20,4+,3,2.0,1 trip,4.0,3-5,2.0,<30,681.7,MODERATE
<35,11-15,>8,6-10,1.0,1.0,2.0,Never,3,10-20,1,3,1.0,>3 trips,1.0,<3,1.0,1-2h,667.9,MODERATE
45-50,>15,4-5,11-15,1.0,1.0,4.0,Never,3,<10,4+,2,1.0,1 trip,5.0,<3,4.0,30-60,694.3,MODERATE
>50,11-15,6-8,0-5,1.0,1.0,2.0,Never,None,20-30,3,1,2.0,>3 trips,1.0,11-15,1.0,No commute,627.0,MODERATE
<35,1-5,1,0-5,1.0,1.0,3.0,Never,3,<10,2,1,1.0,>3 trips,1.0,<3,5.0,>2h,610.8,MODERATE
<35,6-10,>8,0-5,3.0,3.0,2.0,Sometimes,3,Unknown,1,4+,3.0,3 trips,4.0,>15,2.0,30-60,710.6,GOOD
40-45,>15,2-3,0-5,4.0,4.0,4.0,Often,3,Unknown,None,None,3.0,1 trip,2.0,>15,3.0,30-60,735.5,GOOD
45-50,6-10,4-5,>20,2.0,2.0,4.0,Rarely,3,Unknown,1,2,2.0,1 trip,2.0,3-5,2.0,<30,674.7,MODERATE
>50,None,6-8,16-20,2.0,2.0,2.0,Rarely,2,<10,2,1,2.0,>3 trips,4.0,3-5,1.0,<30,627.5,MODERATE
35-40,>15,6-8,6-10,1.0,1.0,4.0,Never,2,<10,1,2,2.0,1 trip,2.0,3-5,1.0,No commute,664.5,MODERATE
<35,None,2-3,11-15,1.0,1.0,2.0,Never,4+,30-45,4+,4+,1.0,2 trips,1.0,3-5,2.0,1-2h,650.9,MODERATE
>50,>15,2-3,0-5,1.0,1.0,5.0,Never,2,Unknown,1,1,1.0,1 trip,5.0,3-5,1.0,1-2h,726.1,GOOD
35-40,1-5,4-5,6-10,2.0,2.0,4.0,Rarely,4+,>45,3,2,2.0,No travel,2.0,6-10,5.0,30-60,728.0,GOOD
45-50,6-10,2-3,16-20,2.0,2.0,3.0,Rarely,1,10-20,3,None,3.0,1 trip,2.0,11-15,2.0,30-60,663.9,MODERATE
45-50,6-10,>8,6-10,5.0,5.0,1.0,Always,1,<10,1,None,5.0,2 trips,1.0,11-15,1.0,<30,571.9,MODERATE
>50,11-15,6-8,11-15,3.0,3.0,4.0,Sometimes,1,Unknown,None,4+,3.0,1 trip,2.0,>15,2.0,1-2h,702.8,GOOD
35-40,>15,2-3,0-5,1.0,1.0,1.0,Never,None,20-30,1,1,3.0,2 trips,2.0,<3,5.0,No commute,621.7,MODERATE
45-50,>15,1,11-15,4.0,4.0,1.0,Often,1,<10,4+,1,4.0,No travel,1.0,3-5,2.0,30-60,572.3,MODERATE
>50,None,2-3,0-5,2.0,2.0,1.0,Rarely,1,Unknown,4+,None,3.0,3 trips,1.0,11-15,3.0,<30,645.4,MODERATE
45-50,>15,6-8,16-20,1.0,1.0,4.0,Never,4+,Unknown,4+,4+,1.0,>3 trips,3.0,>15,5.0,>2h,701.0,GOOD
45-50,6-10,>8,11-15,2.0,2.0,1.0,Rarely,1,Unknown,None,3,3.0,>3 trips,3.0,11-15,4.0,>2h,648.6,MODERATE
45-50,>15,2-3,6-10,2.0,2.0,1.0,Rarely,2,10-20,3,None,2.0,>3 trips,1.0,11-15,3.0,>2h,626.1,MODERATE
40-45,11-15,>8,16-20,4.0,4.0,4.0,Often,2,30-45,4+,None,4.0,No travel,3.0,6-10,4.0,>2h,685.3,MODERATE
35-40,11-15,1,11-15,2.0,2.0,2.0,Rarely,3,Unknown,4+,2,2.0,No travel,1.0,>15,5.0,30-60,671.1,MODERATE
>50,6-10,6-8,0-5,2.0,2.0,2.0,Rarely,3,Unknown,1,4+,2.0,2 trips,1.0,>15,5.0,1-2h,666.2,MODERATE
>50,6-10,4-5,16-20,1.0,1.0,2.0,Never,1,>45,3,3,2.0,No travel,1.0,11-15,4.0,1-2h,655.2,MODERATE
35-40,6-10,6-8,0-5,1.0,1.0,5.0,Never,3,Unknown,4+,4+,1.0,3 trips,4.0,>15,5.0,1-2h,746.6,GOOD
35-40,>15,4-5,>20,4.0,4.0,2.0,Often,None,<10,4+,4+,4.0,2 trips,1.0,3-5,2.0,No commute,645.8,MODERATE
35-40,>15,4-5,6-10,5.0,5.0,1.0,Always,2,<10,1,None,4.0,3 trips,3.0,6-10,2.0,No commute,585.5,MODERATE
35-40,1-5,6-8,0-5,1.0,1.0,1.0,Never,2,<10,1,None,1.0,3 trips,2.0,<3,1.0,1-2h,643.1,MODERATE
<35,None,4-5,11-15,3.0,3.0,1.0,Sometimes,2,10-20,2,None,3.0,1 trip,2.0,<3,5.0,30-60,603.6,MODERATE
>50,>15,>8,>20,4.0,4.0,2.0,Often,None,>45,1,2,4.0,>3 trips,4.0,11-15,3.0,>2h,640.8,MODERATE
<35,1-5,1,16-20,4.0,4.0,4.0,Often,3,20-30,1,3,3.0,3 trips,2.0,>15,4.0,>2h,662.4,MODERATE
45-50,1-5,2-3,11-15,1.0,1.0,2.0,Never,3,10-20,2,3,1.0,>3 trips,5.0,6-10,2.0,1-2h,704.9,GOOD
45-50,11-15,4-5,16-20,4.0,4.0,4.0,Often,2,10-20,4+,4+,4.0,2 trips,1.0,6-10,5.0,<30,672.6,MODERATE
>50,>15,4-5,>20,4.0,4.0,2.0,Often,2,10-20,1,None,4.0,>3 trips,1.0,6-10,5.0,30-60,652.2,MODERATE
45-50,1-5,6-8,11-15,5.0,5.0,1.0,Always,1,10-20,None,4+,5.0,No travel,1.0,3-5,2.0,<30,636.3,MODERATE
35-40,11-15,>8,0-5,5.0,5.0,1.0,Always,2,10-20,2,None,4.0,>3 trips,1.0,3-5,1.0,<30,607.8,MODERATE
<35,None,2-3,11-15,1.0,1.0,3.0,Never,3,10-20,2,4+,1.0,No travel,5.0,6-10,2.0,30-60,661.6,MODERATE
35-40,11-15,4-5,6-10,2.0,2.0,4.0,Rarely,4+,20-30,4+,4+,2.0,1 trip,5.0,11-15,2.0,30-60,628.2,MODERATE
45-50,None,>8,0-5,4.0,4.0,4.0,Often,2,10-20,1,2,4.0,1 trip,4.0,6-10,4.0,No commute,664.1,MODERATE
<35,6-10,2-3,6-10,1.0,1.0,4.0,Never,3,20-30,None,2,1.0,3 trips,5.0,>15,2.0,No commute,734.6,GOOD
35-40,6-10,6-8,11-15,4.0,4.0,3.0,Often,4+,Unknown,4+,4+,3.0,No travel,5.0,<3,4.0,>2h,665.6,MODERATE
>50,11-15,4-5,11-15,2.0,2.0,5.0,Rarely,2,10-20,1,None,2.0,No travel,3.0,>15,4.0,No commute,727.8,GOOD
35-40,6-10,6-8,16-20,3.0,3.0,3.0,Sometimes,2,Unknown,4+,4+,3.0,>3 trips,2.0,11-15,2.0,<30,661.1,MODERATE
45-50,>15,6-8,11-15,3.0,3.0,2.0,Sometimes,None,20-30,2,None,4.0,1 trip,2.0,3-5,2.0,30-60,611.7,MODERATE
<35,11-15,4-5,0-5,4.0,4.0,2.0,Often,None,30-45,2,1,5.0,No travel,2.0,3-5,2.0,>2h,651.2,MODERATE
>50,1-5,>8,6-10,2.0,2.0,2.0,Rarely,2,<10,1,3,2.0,2 trips,2.0,6-10,5.0,No commute,673.4,MODERATE
<35,>15,>8,>20,1.0,1.0,4.0,Never,3,>45,4+,4+,1.0,1 trip,4.0,6-10,5.0,>2h,735.9,GOOD
>50,11-15,6-8,6-10,1.0,1.0,4.0,Never,2,20-30,1,1,1.0,3 trips,3.0,3-5,1.0,1-2h,713.6,GOOD
<35,None,6-8,16-20,3.0,3.0,2.0,Sometimes,4+,<10,3,4+,2.0,3 trips,1.0,11-15,3.0,No commute,658.8,MODERATE
45-50,6-10,1,>20,1.0,1.0,4.0,Never,2,10-20,1,2,2.0,1 trip,2.0,3-5,2.0,>2h,622.5,MODERATE
>50,6-10,2-3,>20,2.0,2.0,4.0,Rarely,4+,<10,3,3,2.0,No travel,2.0,3-5,4.0,30-60,660.3,MODERATE
40-45,6-10,6-8,11-15,5.0,5.0,4.0,Always,3,Unknown,2,4+,4.0,3 trips,4.0,11-15,4.0,<30,717.2,GOOD
<35,11-15,6-8,16-20,4.0,4.0,2.0,Often,2,Unknown,None,2,4.0,1 trip,2.0,11-15,3.0,30-60,674.5,MODERATE
<35,>15,2-3,16-20,5.0,5.0,4.0,Always,3,Unknown,2,2,4.0,>3 trips,2.0,6-10,5.0,1-2h,682.1,MODERATE
35-40,None,4-5,11-15,2.0,2.0,4.0,Rarely,3,10-20,None,1,2.0,No travel,5.0,6-10,3.0,No commute,698.3,MODERATE
>50,6-10,>8,0-5,2.0,2.0,2.0,Rarely,4+,<10,4+,2,2.0,1 trip,3.0,6-10,2.0,1-2h,680.2,MODERATE
40-45,>15,4-5,11-15,3.0,3.0,2.0,Sometimes,3,<10,None,1,3.0,>3 trips,2.0,3-5,2.0,<30,629.4,MODERATE
45-50,1-5,2-3,16-20,4.0,4.0,4.0,Often,1,<10,4+,None,4.0,2 trips,1.0,3-5,1.0,No commute,628.6,MODERATE
35-40,1-5,2-3,>20,3.0,3.0,2.0,Sometimes,3,<10,3,None,3.0,3 trips,2.0,3-5,2.0,No commute,629.4,MODERATE
40-45,None,1,0-5,4.0,4.0,4.0,Often,1,<10,4+,None,4.0,1 trip,1.0,3-5,1.0,<30,624.8,MODERATE
>50,6-10,1,16-20,3.0,3.0,4.0,Sometimes,2,10-20,1,None,3.0,No travel,2.0,6-10,4.0,1-2h,686.6,MODERATE
40-45,1-5,>8,16-20,1.0,1.0,4.0,Never,3,10-20,1,4+,1.0,>3 trips,2.0,<3,2.0,30-60,684.1,MODERATE
<35,>15,6-8,11-15,5.0,5.0,2.0,Always,2,30-45,1,1,4.0,1 trip,2.0,<3,2.0,<30,620.8,MODERATE
<35,>15,2-3,6-10,2.0,2.0,4.0,Rarely,1,>45,2,None,3.0,1 trip,2.0,3-5,3.0,>2h,713.2,GOOD
35-40,1-5,1,16-20,2.0,2.0,4.0,Rarely,2,20-30,1,2,2.0,>3 trips,1.0,6-10,1.0,30-60,648.6,MODERATE
>50,6-10,4-5,6-10,3.0,3.0,2.0,Sometimes,2,10-20,4+,1,3.0,1 trip,5.0,11-15,2.0,No commute,732.9,GOOD
>50,None,1,0-5,1.0,1.0,4.0,Never,2,Unknown,4+,4+,2.0,No travel,2.0,6-10,5.0,<30,706.0,GOOD
40-45,6-10,4-5,>20,2.0,2.0,5.0,Rarely,2,>45,4+,None,2.0,3 trips,1.0,>15,5.0,<30,716.6,GOOD
35-40,11-15,1,6-10,2.0,2.0,4.0,Rarely,1,20-30,1,1,3.0,No travel,2.0,11-15,2.0,>2h,703.6,GOOD
>50,1-5,4-5,6-10,1.0,1.0,4.0,Never,2,<10,3,3,2.0,No travel,1.0,3-5,1.0,1-2h,665.2,MODERATE
<35,11-15,1,6-10,4.0,4.0,4.0,Often,2,<10,3,None,4.0,3 trips,5.0,<3,5.0,>2h,672.8,MODERATE
40-45,1-5,1,6-10,3.0,3.0,2.0,Sometimes,2,10-20,2,1,3.0,1 trip,4.0,>15,1.0,>2h,669.0,MODERATE
45-50,None,>8,6-10,1.0,1.0,1.0,Never,4+,Unknown,4+,None,1.0,>3 trips,5.0,>15,1.0,1-2h,718.1,GOOD
<35,6-10,6-8,0-5,1.0,1.0,4.0,Never,4+,30-45,4+,3,1.0,>3 trips,5.0,3-5,5.0,No commute,714.4,GOOD
35-40,6-10,2-3,16-20,2.0,2.0,5.0,Rarely,2,Unknown,2,2,2.0,2 trips,3.0,6-10,5.0,<30,724.7,GOOD
>50,1-5,6-8,>20,5.0,5.0,1.0,Always,1,<10,4+,2,5.0,No travel,1.0,6-10,5.0,30-60,574.9,MODERATE
<35,>15,>8,16-20,1.0,1.0,4.0,Never,3,20-30,None,3,1.0,3 trips,5.0,>15,2.0,No commute,731.4,GOOD
45-50,11-15,4-5,0-5,1.0,1.0,2.0,Never,2,20-30,2,1,2.0,>3 trips,5.0,>15,2.0,No commute,691.1,MODERATE
45-50,6-10,6-8,0-5,1.0,1.0,2.0,Never,4+,10-20,4+,4+,1.0,3 trips,1.0,<3,4.0,No commute,596.7,MODERATE
35-40,6-10,2-3,6-10,3.0,3.0,5.0,Sometimes,3,>45,2,None,3.0,>3 trips,5.0,6-10,5.0,30-60,683.6,MODERATE
<35,1-5,2-3,0-5,4.0,4.0,4.0,Often,3,Unknown,None,4+,3.0,3 trips,2.0,6-10,2.0,<30,616.5,MODERATE
40-45,>15,4-5,0-5,5.0,5.0,1.0,Always,1,10-20,None,None,5.0,No travel,5.0,6-10,4.0,No commute,632.0,MODERATE
<35,11-15,2-3,6-10,1.0,1.0,4.0,Never,3,<10,1,4+,1.0,2 trips,4.0,11-15,2.0,>2h,717.2,GOOD
45-50,>15,>8,0-5,4.0,4.0,4.0,Often,4+,Unknown,4+,None,3.0,2 trips,5.0,>15,5.0,30-60,787.3,GOOD
35-40,>15,6-8,0-5,5.0,5.0,1.0,Always,2,20-30,None,2,4.0,No travel,5.0,3-5,5.0,1-2h,669.4,MODERATE
35-40,1-5,2-3,0-5,1.0,1.0,4.0,Never,3,10-20,None,None,1.0,1 trip,1.0,<3,4.0,<30,680.4,MODERATE
40-45,>15,6-8,11-15,3.0,3.0,4.0,Sometimes,1,<10,None,None,3.0,1 trip,1.0,>15,2.0,>2h,671.1,MODERATE
35-40,11-15,1,16-20,1.0,1.0,3.0,Never,3,<10,1,3,1.0,3 trips,4.0,11-15,3.0,30-60,666.4,MODERATE
35-40,None,6-8,11-15,3.0,3.0,3.0,Sometimes,2,>45,4+,3,3.0,No travel,2.0,3-5,5.0,30-60,661.3,MODERATE
35-40,None,4-5,16-20,2.0,2.0,2.0,Rarely,2,Unknown,2,None,2.0,No travel,2.0,11-15,5.0,1-2h,690.0,MODERATE
35-40,11-15,>8,6-10,4.0,4.0,2.0,Often,3,10-20,1,None,3.0,3 trips,1.0,3-5,2.0,30-60,631.6,MODERATE
35-40,1-5,2-3,6-10,1.0,1.0,2.0,Never,3,10-20,4+,1,1.0,3 trips,5.0,>15,2.0,<30,645.6,MODERATE
45-50,6-10,>8,16-20,3.0,3.0,3.0,Sometimes,2,10-20,None,2,3.0,>3 trips,5.0,3-5,1.0,>2h,663.7,MODERATE
<35,1-5,6-8,16-20,5.0,5.0,2.0,Always,4+,30-45,1,None,4.0,2 trips,3.0,6-10,5.0,30-60,660.7,MODERATE
>50,11-15,2-3,>20,3.0,3.0,2.0,Sometimes,4+,10-20,3,None,2.0,>3 trips,1.0,<3,1.0,1-2h,611.2,MODERATE
35-40,>15,>8,16-20,4.0,4.0,5.0,Often,1,10-20,3,2,4.0,3 trips,3.0,>15,2.0,<30,677.9,MODERATE
>50,None,4-5,16-20,4.0,4.0,5.0,Often,3,<10,None,1,3.0,3 trips,1.0,<3,5.0,30-60,717.8,GOOD
>50,>15,1,6-10,4.0,4.0,2.0,Often,1,30-45,4+,3,4.0,3 trips,2.0,3-5,2.0,No commute,622.9,MODERATE
45-50,1-5,1,6-10,1.0,1.0,4.0,Never,4+,10-20,4+,3,1.0,>3 trips,3.0,3-5,4.0,No commute,688.1,MODERATE
35-40,11-15,4-5,0-5,4.0,4.0,2.0,Often,3,20-30,1,2,3.0,2 trips,2.0,6-10,1.0,1-2h,604.8,MODERATE
>50,None,1,0-5,2.0,2.0,4.0,Rarely,2,Unknown,3,None,2.0,3 trips,5.0,3-5,5.0,No commute,675.4,MODERATE
35-40,11-15,4-5,6-10,1.0,1.0,4.0,Never,3,Unknown,4+,3,1.0,1 trip,5.0,6-10,4.0,No commute,742.7,GOOD
40-45,None,6-8,0-5,3.0,3.0,5.0,Sometimes,2,10-20,1,None,3.0,2 trips,5.0,6-10,2.0,<30,717.6,GOOD
40-45,None,4-5,11-15,4.0,4.0,2.0,Often,3,30-45,1,4+,3.0,1 trip,5.0,11-15,4.0,<30,731.2,GOOD
40-45,None,1,11-15,5.0,5.0,1.0,Always,4+,<10,3,None,4.0,1 trip,5.0,>15,5.0,>2h,639.6,MODERATE
>50,1-5,6-8,0-5,2.0,2.0,2.0,Rarely,3,Unknown,None,3,2.0,2 trips,5.0,11-15,5.0,>2h,749.1,GOOD
40-45,11-15,4-5,0-5,1.0,1.0,2.0,Never,3,20-30,1,None,1.0,1 trip,5.0,11-15,5.0,>2h,715.3,GOOD
45-50,6-10,4-5,16-20,4.0,4.0,2.0,Often,3,10-20,None,None,3.0,No travel,1.0,>15,2.0,<30,666.4,MODERATE
45-50,6-10,6-8,16-20,1.0,1.0,4.0,Never,4+,>45,3,1,1.0,>3 trips,2.0,11-15,2.0,<30,711.3,GOOD
>50,6-10,2-3,11-15,3.0,3.0,1.0,Sometimes,3,20-30,1,1,3.0,3 trips,5.0,>15,3.0,<30,743.3,GOOD
35-40,11-15,1,11-15,2.0,2.0,2.0,Rarely,2,20-30,2,None,2.0,No travel,2.0,11-15,2.0,No commute,712.1,GOOD
<35,>15,2-3,16-20,5.0,5.0,4.0,Always,3,10-20,3,2,4.0,3 trips,2.0,6-10,5.0,>2h,694.9,MODERATE
35-40,11-15,6-8,16-20,1.0,1.0,4.0,Never,3,>45,3,2,1.0,3 trips,2.0,11-15,3.0,No commute,724.6,GOOD
35-40,None,6-8,16-20,5.0,5.0,2.0,Always,1,20-30,2,2,5.0,No travel,3.0,3-5,5.0,>2h,689.2,MODERATE
35-40,>15,>8,0-5,3.0,3.0,4.0,Sometimes,3,Unknown,3,2,3.0,3 trips,2.0,11-15,5.0,1-2h,744.6,GOOD
35-40,None,>8,6-10,3.0,3.0,2.0,Sometimes,2,<10,2,3,3.0,2 trips,1.0,<3,5.0,No commute,670.7,MODERATE
<35,None,6-8,11-15,3.0,3.0,4.0,Sometimes,3,20-30,2,2,3.0,>3 trips,3.0,6-10,5.0,>2h,653.5,MODERATE
40-45,11-15,>8,>20,3.0,3.0,1.0,Sometimes,3,<10,3,3,3.0,3 trips,1.0,<3,2.0,30-60,597.2,MODERATE
35-40,6-10,4-5,16-20,2.0,2.0,3.0,Rarely,2,<10,2,2,2.0,>3 trips,2.0,11-15,5.0,1-2h,700.2,GOOD
45-50,>15,2-3,0-5,4.0,4.0,2.0,Often,2,10-20,2,None,4.0,1 trip,4.0,11-15,2.0,No commute,654.8,MODERATE
>50,1-5,6-8,11-15,1.0,1.0,5.0,Never,2,10-20,3,2,2.0,3 trips,5.0,>15,4.0,No commute,741.4,GOOD
>50,6-10,4-5,16-20,4.0,4.0,4.0,Often,3,<10,2,None,3.0,1 trip,1.0,3-5,5.0,30-60,678.7,MODERATE
45-50,1-5,1,0-5,2.0,2.0,4.0,Rarely,1,20-30,None,None,3.0,>3 trips,3.0,6-10,3.0,<30,688.4,MODERATE
35-40,11-15,1,11-15,4.0,4.0,4.0,Often,2,Unknown,3,1,4.0,No travel,2.0,>15,2.0,30-60,720.4,GOOD
<35,>15,>8,11-15,4.0,4.0,2.0,Often,2,20-30,3,4+,4.0,>3 trips,5.0,6-10,5.0,<30,674.3,MODERATE
40-45,11-15,>8,>20,4.0,4.0,2.0,Often,2,<10,None,4+,4.0,2 trips,2.0,6-10,2.0,No commute,640.3,MODERATE
>50,1-5,4-5,>20,2.0,2.0,4.0,Rarely,2,Unknown,4+,None,2.0,2 trips,1.0,11-15,5.0,<30,699.2,MODERATE
40-45,None,1,11-15,4.0,4.0,2.0,Often,2,20-30,1,4+,4.0,>3 trips,5.0,11-15,5.0,30-60,674.1,MODERATE
<35,11-15,6-8,0-5,2.0,2.0,2.0,Rarely,1,30-45,2,4+,3.0,>3 trips,1.0,<3,1.0,>2h,604.8,MODERATE
>50,>15,2-3,16-20,4.0,4.0,2.0,Often,3,<10,2,2,3.0,1 trip,2.0,6-10,5.0,1-2h,658.8,MODERATE
40-45,11-15,>8,16-20,2.0,2.0,4.0,Rarely,2,<10,1,4+,2.0,1 trip,5.0,11-15,2.0,No commute,696.8,MODERATE
<35,6-10,4-5,11-15,3.0,3.0,4.0,Sometimes,2,20-30,2,4+,3.0,3 trips,2.0,11-15,2.0,1-2h,661.6,MODERATE
40-45,11-15,>8,16-20,3.0,3.0,4.0,Sometimes,2,20-30,2,4+,3.0,1 trip,1.0,<3,2.0,30-60,596.1,MODERATE
35-40,1-5,4-5,>20,3.0,3.0,2.0,Sometimes,3,20-30,None,1,3.0,No travel,4.0,>15,5.0,1-2h,701.5,GOOD
<35,11-15,1,16-20,2.0,2.0,4.0,Rarely,3,<10,None,4+,2.0,No travel,2.0,>15,5.0,>2h,710.0,GOOD
40-45,>15,>8,6-10,1.0,1.0,4.0,Never,2,<10,None,2,2.0,1 trip,5.0,>15,2.0,>2h,678.5,MODERATE
35-40,11-15,4-5,>20,2.0,2.0,4.0,Rarely,3,30-45,None,3,2.0,>3 trips,5.0,6-10,5.0,>2h,742.3,GOOD
35-40,11-15,4-5,>20,4.0,4.0,4.0,Often,None,>45,3,1,4.0,>3 trips,5.0,11-15,3.0,30-60,693.9,MODERATE
<35,>15,>8,11-15,4.0,4.0,4.0,Often,1,<10,2,2,4.0,No travel,1.0,<3,4.0,>2h,624.6,MODERATE
45-50,11-15,2-3,11-15,2.0,2.0,4.0,Rarely,4+,10-20,1,None,2.0,>3 trips,4.0,>15,3.0,No commute,697.2,MODERATE
>50,>15,6-8,16-20,3.0,3.0,2.0,Sometimes,3,<10,2,2,3.0,2 trips,1.0,6-10,5.0,>2h,665.1,MODERATE
<35,1-5,1,16-20,1.0,1.0,2.0,Never,4+,<10,3,3,1.0,>3 trips,5.0,<3,2.0,30-60,699.6,MODERATE
35-40,>15,>8,11-15,5.0,5.0,3.0,Always,3,<10,3,1,4.0,No travel,2.0,6-10,2.0,>2h,647.5,MODERATE
35-40,1-5,>8,0-5,5.0,5.0,5.0,Always,None,10-20,2,3,5.0,3 trips,5.0,6-10,2.0,1-2h,670.9,MODERATE
<35,1-5,2-3,16-20,3.0,3.0,4.0,Sometimes,1,<10,2,None,3.0,1 trip,5.0,11-15,3.0,>2h,724.2,GOOD
45-50,>15,1,0-5,3.0,3.0,1.0,Sometimes,4+,Unknown,None,None,2.0,1 trip,1.0,6-10,5.0,30-60,672.4,MODERATE
>50,11-15,>8,>20,2.0,2.0,4.0,Rarely,3,20-30,3,None,2.0,3 trips,2.0,3-5,2.0,1-2h,696.6,MODERATE
40-45,6-10,2-3,6-10,4.0,4.0,5.0,Often,2,>45,2,2,4.0,2 trips,5.0,6-10,4.0,<30,703.2,GOOD
<35,>15,6-8,0-5,3.0,3.0,4.0,Sometimes,2,10-20,1,2,3.0,2 trips,5.0,<3,1.0,No commute,655.4,MODERATE
>50,11-15,4-5,16-20,3.0,3.0,1.0,Sometimes,2,10-20,1,4+,3.0,3 trips,5.0,6-10,1.0,>2h,614.2,MODERATE
>50,1-5,6-8,11-15,2.0,2.0,4.0,Rarely,2,<10,None,None,2.0,>3 trips,1.0,>15,4.0,30-60,653.9,MODERATE
35-40,None,6-8,11-15,2.0,2.0,4.0,Rarely,None,30-45,None,3,3.0,No travel,4.0,>15,5.0,No commute,690.0,MODERATE
40-45,6-10,6-8,6-10,1.0,1.0,2.0,Never,4+,Unknown,2,None,1.0,2 trips,5.0,>15,5.0,1-2h,694.9,MODERATE
<35,11-15,6-8,6-10,2.0,2.0,5.0,Rarely,3,>45,1,1,2.0,2 trips,1.0,>15,5.0,30-60,717.8,GOOD
35-40,6-10,4-5,>20,5.0,5.0,2.0,Always,2,<10,3,2,4.0,3 trips,5.0,6-10,5.0,>2h,694.7,MODERATE
